BFV122,BHV1,BHV101,BHV108,BHV2,BHV208,BHV22,BHV3,BHV308,BHV311,BHV313,BHV314,BHV315,BHV40,BHV6,BLV459,BLV614,BLV615,BPORV,BPRZSP,BPSV10,BPSV5,BV101,BV102,BV201,BV202,BV301,BV302,CQHB,CQHR,DSECON,FAFWP1,FAFWP2,FAFWP3,KAFWP1,KAFWP2,KAFWP3,KBCDO23,KBHON,KCHRGP1,KCHRGP2,KCHRGP3,KCHV22,KCISOA,KCISOB,KCLV615,KCSAS,KCTMTSP,KEA37R,KELC1R,KFWP1,KFWP2,KFWP3,KLAMPO121,KLAMPO122,KLAMPO123,KLAMPO124,KLAMPO125,KLAMPO126,KLAMPO132,KLAMPO189,KLAMPO2,KLAMPO4,KLAMPO47,KLAMPO48,KLAMPO49,KLAMPO50,KMANRX,KMSISO,KOHV22,KOLV615,KPBHM,KRXTRIP,KSWO100,KSWO120,KSWO121,KSWO122,KSWO125,KSWO128,KSWO202,KSWO205,KSWO206,KSWO207,KSWO220,KSWO241,KSWO243,KSWO246,KSWO249,KSWO251,KSWO252,KSWO253,KSWO8,KSWO9,KZBANK1,KZBANK2,KZBANK3,KZBANK4,KZBANK5,KZBANK6,KZBANK7,KZBANK8,QPROREL,QPRZB,QPRZP,UAVLEG1,UAVLEG2,UAVLEG3,UAVLEGM,UCOLEG1,UCOLEG2,UCOLEG3,UHOLEG1,UHOLEG2,UHOLEG3,WACCA,WACCB,WAUXSP,WHV22,WPRZSV,WSPRAY,WSPRCS1,WSPRCS2,WSTM1,WSTM2,WSTM3,ZINST101,ZINST22,ZINST25,ZINST26,ZINST42,ZINST56,ZINST57,ZINST58,ZINST62,ZINST65,ZINST66,ZINST70,ZINST71,ZINST72,ZINST73,ZINST74,ZINST75,ZINST76,ZINST77,ZINST78,ZINST89,ZINST91,ZINST92,ZINST93,ZINST94,ZINST95,ZINST96,ZINST99,ZPRZ,ZREAC,ZSGIN1,ZSGIN2,ZSGIN3,ZSGW1,ZSGW2,ZSGW3,FSRMDPM,USUBMA,ZINST1,ZINST17,ZINST2,ZINST3,ZINST46,,
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.95,0,0,0.19,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.42,308.27,308.25,307.98,289.24,290.91,290.9,325.6,325.63,325.6,0,0,0,0,0,6.08,2.93,3.06,447.5,455.35,457.4,85.12,2.08,34.61,0.25,44.9,1.06,55.25,159.55,343.04,159.55,21.89,89.19,89.2,89.21,64.33,64.33,64.32,50.04,50.06,49.98,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.83,12.83,12.83,0,18.1,99.81,0,-3.35,0,325.6,0:00:12,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.95,0,0,0.17,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.26,308.25,307.97,289.23,290.91,290.9,325.6,325.62,325.6,0,0,0,0,0,5.56,2.68,2.8,447.49,455.32,457.4,85.12,2.08,34.61,0.25,44.9,1.06,55.25,159.5,343.02,159.5,20.02,89.19,89.19,89.22,64.33,64.33,64.32,50.04,50.05,50,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.83,12.83,12.83,0,18.07,99.82,0,-3.35,0,325.59,0:00:13,#
0.57,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.94,0,0,0.16,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.26,308.25,307.97,289.23,290.91,290.9,325.59,325.62,325.59,0,0,0,0,0,5.16,2.49,2.6,447.5,455.29,457.39,85.12,2.08,34.61,0.25,44.9,1.06,55.25,159.45,343.01,159.45,18.57,89.18,89.19,89.23,64.33,64.32,64.32,50.03,50.04,50.02,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.83,12.82,12.82,0,18.05,99.82,0,-3.35,0,325.59,0:00:14,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.94,0,0,0.15,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.26,308.25,307.97,289.23,290.9,290.9,325.59,325.61,325.59,0,0,0,0,0,4.79,2.31,2.41,447.53,455.25,457.37,85.12,2.08,34.61,0.25,44.9,1.07,55.24,159.41,343,159.41,17.26,89.18,89.18,89.24,64.33,64.32,64.32,50.03,50.03,50.04,0,0.52,0.68,0.43,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.83,12.82,12.82,0,18.03,99.82,0,-3.35,0,325.59,0:00:16,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.94,0,0,0.14,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.26,308.24,307.97,289.23,290.9,290.9,325.59,325.61,325.59,0,0,0,0,0,4.39,2.11,2.21,447.59,455.18,457.35,85.12,2.08,34.61,0.25,44.9,1.07,55.24,159.37,342.99,159.37,15.79,89.18,89.17,89.26,64.32,64.32,64.31,50.02,50.02,50.06,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,18.01,99.82,0,-3.35,0,325.59,0:00:17,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.93,0,0,0.13,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.26,308.24,307.97,289.23,290.9,290.89,325.59,325.61,325.59,0,0,0,0,0,4.07,1.96,2.05,447.66,455.14,457.32,85.12,2.08,34.61,0.25,44.9,1.07,55.24,159.34,342.99,159.34,14.66,89.17,89.17,89.27,64.32,64.32,64.31,50.01,50.01,50.08,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,17.99,99.83,0,-3.35,0,325.59,0:00:18,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.93,0,0,0.12,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.25,308.24,307.97,289.22,290.9,290.89,325.59,325.61,325.59,0,0,0,0,0,3.71,1.79,1.87,447.75,455.06,457.28,85.11,2.08,34.61,0.25,44.9,1.07,55.23,159.3,342.98,159.3,13.37,89.17,89.17,89.28,64.32,64.32,64.31,50.01,50,50.1,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,17.97,99.83,0,-3.35,0,325.59,0:00:19,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.92,0,0,0.11,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.25,308.24,307.97,289.22,290.9,290.89,325.59,325.61,325.59,0,0,0,0,0,3.43,1.65,1.73,447.82,455,457.25,85.11,2.08,34.61,0.25,44.9,1.07,55.23,159.27,342.97,159.27,12.35,89.17,89.16,89.29,64.32,64.32,64.31,50,50,50.11,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,17.96,99.84,0,-3.35,0,325.59,0:00:20,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.92,0,0,0.1,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.25,308.24,307.97,289.22,290.89,290.89,325.59,325.61,325.59,0,0,0,0,0,3.18,1.53,1.6,447.91,454.92,457.2,85.11,2.08,34.61,0.25,44.9,1.07,55.23,159.24,342.96,159.24,11.43,89.17,89.16,89.29,64.32,64.32,64.31,50,49.99,50.13,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,17.94,99.84,0,-3.35,0,325.59,0:00:21,#
0.56,1,0,1,1,1,0,0,1,0.96,1,1,1,0,1,1,0.92,0,0,0.09,0,0,0,0,0,0,0,0,1000000,400000,0,1,1,1,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,228,228,228,220,228,228,228,228,1,0,0,307.41,308.25,308.24,307.96,289.22,290.89,290.89,325.59,325.6,325.59,0,0,0,0,0,2.88,1.39,1.45,448.02,454.84,457.16,85.11,2.08,34.61,0.25,44.9,1.07,55.23,159.21,342.96,159.21,10.36,89.17,89.16,89.3,64.32,64.32,64.31,50,49.99,50.14,0,0.52,0.68,0.44,0.72,0.52,0.68,63.86,5.63,6.46,39,40,42,12.84,12.82,12.82,0,17.93,99.85,0,-3.35,0,325.59,0:00:22,#
